"monthly_salary","fico","utilization","card_limit","card_interest_rate","model_output","model_target"
"78780","897","13.17%","31032","3.75%","0.2231","0"
"10065","794","6.22%","31697","3.41%","0.9543","1"
"97434","880","8.44%","48998","9.68%","0.9906","0"
"126755","729","0.73%","38827","4.14%","0.0232","0"
"70696","624","15.47%","9082","5.51%","0.1075","0"
"173006","889","14.57%","18039","2.86%","0.4746","0"
"88528","814","14.53%","9946","2.40%","0.3882","0"
"40985","743","11.69%","25788","9.50%","0.1198","0"
"154213","864","4.80%","20240","9.06%","0.3700","0"
"48492","612","0.15%","45523","10.22%","0.2897","0"
"31681","821","9.73%","7493","9.82%","0.1124","0"
"67238","887","10.63%","29482","7.94%","0.9568","0"
"44643","893","12.04%","47461","11.29%","0.8541","1"
"197514","818","15.67%","11436","3.91%","0.9053","1"
"72272","667","6.16%","11734","6.80%","0.6002","1"
"78675","624","15.60%","41669","7.21%","0.0959","0"
"43980","631","3.09%","20331","5.47%","0.0083","0"
"154442","811","7.01%","20678","2.91%","0.4957","0"
"75990","834","6.06%","45412","2.17%","0.0685","0"
"145779","801","7.62%","20020","9.93%","0.5087","0"
"60938","790","4.24%","23268","6.86%","0.2046","0"
"139356","640","3.34%","49806","6.50%","0.7586","0"
"58355","831","15.22%","13192","8.29%","0.9687","0"
"105779","637","5.58%","16280","11.80%","0.2445","0"
"60382","851","11.56%","42546","10.08%","0.4050","0"
"119585","633","5.63%","40902","10.11%","0.8548","1"
"104314","863","3.69%","41368","2.69%","0.1267","0"
"20568","617","5.89%","24465","2.96%","0.3033","0"
"159146","832","12.27%","48567","5.53%","0.8952","0"
"17086","768","4.27%","31294","2.20%","0.8353","1"
"79060","763","8.63%","19442","10.85%","0.0049","0"
"193520","691","13.37%","40760","3.79%","0.4794","0"
"166258","893","1.02%","34904","7.84%","0.5596","1"
"153003","681","16.08%","20544","9.46%","0.3171","0"
"41495","780","6.83%","45872","9.18%","0.0403","0"
"128315","894","4.54%","5966","8.75%","0.6844","0"
"142618","633","4.71%","48436","4.63%","0.6992","1"
"168887","600","4.28%","25317","2.09%","0.5470","1"
"132944","636","0.55%","46237","11.35%","0.8074","0"
"94029","900","16.37%","11875","11.75%","0.5326","1"
"18049","810","2.21%","40311","10.40%","0.7124","0"
"135669","813","14.01%","15867","8.83%","0.4132","0"
"95868","847","10.48%","48221","11.34%","0.8384","0"
"90246","708","11.05%","19885","4.46%","0.7782","0"
"182525","784","7.21%","30590","6.15%","0.0496","0"
"166492","671","5.08%","44947","11.90%","0.4063","0"
"60416","755","3.74%","44098","11.73%","0.2878","0"
"144007","662","11.89%","43597","4.53%","0.5298","0"
"113170","707","5.84%","45132","2.39%","0.7304","0"
"47979","611","8.97%","35831","5.11%","0.0115","0"
"120644","879","2.47%","37880","6.35%","0.2767","0"
"146814","864","5.89%","31841","4.24%","0.0357","0"
"169359","759","7.30%","16729","10.09%","0.3695","0"
"146430","837","12.03%","36063","4.66%","0.5216","0"
"187204","644","3.97%","10843","2.19%","0.6680","1"
"34788","810","12.28%","34794","11.18%","0.2345","0"
"194899","786","6.76%","48535","11.17%","0.0941","0"
"80752","625","4.99%","47229","11.10%","0.8005","1"
"159184","636","11.83%","15984","6.84%","0.2341","0"
"58394","793","9.16%","18405","11.85%","0.1943","0"
"68910","653","10.57%","36537","7.99%","0.9583","1"
"52756","829","6.48%","18754","2.44%","0.0986","0"
"64593","659","13.82%","43790","3.86%","0.6593","1"
"169880","775","7.68%","41388","5.78%","0.0265","0"
"45551","883","16.21%","39217","9.11%","0.4573","0"
"127615","835","15.81%","25293","3.22%","0.6237","0"
"96789","757","12.26%","28864","10.82%","0.5890","1"
"26788","673","14.42%","24343","2.62%","0.8531","1"
"167203","801","7.64%","11569","6.66%","0.5307","0"
"122967","891","10.60%","12713","11.40%","0.2038","0"
"92791","639","16.29%","49130","11.38%","0.9831","0"
"118503","814","13.34%","7494","6.92%","0.9322","1"
"56183","814","3.59%","27310","9.48%","0.0030","0"
"114237","732","11.55%","47122","5.44%","0.0467","0"
"189115","879","9.69%","36725","5.35%","0.3622","0"
"69837","812","9.08%","41605","5.98%","0.0996","0"
"136384","632","15.58%","42473","4.71%","0.7580","1"
"106263","889","6.80%","19600","6.55%","0.2921","0"
"31295","746","13.06%","7276","8.74%","0.1438","0"
"121225","800","6.49%","31363","3.99%","0.2727","0"
"148542","795","0.31%","20582","9.86%","0.0683","0"
"197301","603","10.67%","31550","7.24%","0.7852","0"
"104825","717","14.10%","26900","8.31%","0.1596","0"
"28939","657","4.95%","36476","11.79%","0.8825","1"
"81063","877","11.54%","49236","6.87%","0.4068","0"
"70855","854","11.17%","31636","5.55%","0.2546","0"
"37625","639","12.62%","39173","3.89%","0.6139","0"
"61199","648","11.47%","13161","5.20%","0.7452","0"
"42532","700","1.98%","25243","9.25%","0.7598","1"
"103675","745","2.55%","45321","6.07%","0.8723","1"
"57622","618","16.46%","27292","5.42%","0.2023","0"
"156790","742","6.33%","12572","6.67%","0.0699","0"
"122085","711","13.82%","20446","3.68%","0.9247","1"
"194474","609","4.75%","46887","2.94%","0.9888","1"
"43284","775","14.77%","24847","10.34%","0.8411","0"
"52098","657","13.13%","17904","4.20%","0.0065","0"
"109930","886","9.90%","27945","7.80%","0.5337","0"
"157698","769","6.10%","36679","6.96%","0.6957","1"
"50241","882","12.59%","46921","11.67%","0.4762","0"
"190143","765","14.53%","8595","8.60%","0.3854","0"
"62237","707","3.17%","23748","6.52%","0.5698","0"
"19788","671","13.85%","38001","9.07%","0.7459","1"
"163333","645","1.93%","21736","6.45%","0.7384","1"
"191284","669","15.46%","43085","5.50%","0.0716","0"
"12573","781","6.47%","16808","10.38%","0.9618","0"
"132008","660","8.04%","28745","4.84%","0.2811","0"
"140551","722","3.05%","26708","9.23%","0.7896","1"
"179897","875","4.48%","31033","10.95%","0.6626","0"
"155876","638","14.69%","40959","10.66%","0.4323","0"
"173886","739","1.33%","12370","10.24%","0.7589","0"
"133416","883","1.87%","41533","5.59%","0.5667","1"
"114255","690","0.50%","6802","10.44%","0.0973","0"
"160801","831","13.71%","20563","7.74%","0.1574","0"
"84853","810","11.34%","16274","7.30%","0.4531","0"
"127363","834","2.56%","29907","6.19%","0.7705","0"
"128311","703","13.83%","23228","9.27%","0.1103","0"
"61971","742","1.22%","17554","11.12%","0.9446","1"
"98510","823","1.87%","42964","9.15%","0.9055","1"
"185632","606","7.36%","5598","2.68%","0.3693","0"
"173961","819","12.83%","18436","8.80%","0.3646","0"
"55351","839","4.69%","21118","11.62%","0.5825","1"
"174307","715","12.40%","35685","8.16%","0.7514","0"
"141076","663","13.19%","12800","3.05%","0.0922","0"
"90657","669","5.39%","28488","6.91%","0.5294","0"
"137557","750","7.10%","32484","9.22%","0.7291","1"
"15236","845","4.91%","25319","7.32%","0.4094","0"
"122107","674","9.07%","35184","5.46%","0.3713","0"
"35997","870","16.26%","15176","3.07%","0.5274","1"
"163484","740","8.51%","11163","2.56%","0.2102","0"
"97310","644","12.47%","34450","4.73%","0.2306","0"
"61767","795","2.92%","12582","6.40%","0.4597","0"
"166113","843","1.54%","41162","7.94%","0.6729","0"
"156081","637","11.52%","10509","9.51%","0.8805","1"
"197257","640","9.69%","7429","3.48%","0.8344","1"
"42630","772","2.25%","29005","11.10%","0.9997","1"
"28268","701","6.63%","18943","5.20%","0.4441","0"
"157558","612","3.78%","29624","11.72%","0.2634","0"
"178999","697","6.90%","32223","4.05%","0.5245","1"
"104843","829","2.30%","25563","11.69%","0.1431","0"
"40198","848","9.85%","40871","8.26%","0.1901","0"
"82643","840","5.12%","30541","9.86%","0.0299","0"
"166954","840","14.60%","15513","4.74%","0.8749","0"
"150233","862","14.99%","11917","11.20%","0.4390","0"
"181150","871","1.95%","29524","8.01%","0.1582","0"
"71808","708","16.20%","19042","10.48%","0.0042","0"
"105203","791","16.11%","42316","6.10%","0.8014","1"
"21883","885","2.53%","30078","9.51%","0.0933","0"
"68565","739","13.44%","41298","8.48%","0.8476","1"
"175625","651","1.10%","44664","9.71%","0.7895","1"
"105955","692","6.91%","19905","9.29%","0.6966","0"
"146067","759","10.44%","49730","11.04%","0.8785","0"
"111725","896","2.43%","20949","6.04%","0.8435","0"
"150566","844","6.86%","35243","4.14%","0.2959","0"
"78590","687","10.03%","43376","4.13%","0.4912","0"
"111776","877","9.16%","34768","2.20%","0.9252","1"
"49433","777","3.76%","41232","4.53%","0.9662","1"
"11686","805","2.49%","38820","3.86%","0.4245","0"
"161837","678","6.71%","21564","2.65%","0.8317","1"
"102455","710","2.52%","21416","11.04%","0.8643","0"
"103136","869","16.47%","24426","2.94%","0.7824","0"
"148662","702","8.52%","45837","8.43%","0.9088","0"
"106353","715","15.13%","32399","5.13%","0.9119","1"
"64770","727","9.88%","44100","10.46%","0.3026","0"
"49494","804","4.36%","46781","4.38%","0.2685","0"
"68636","685","1.99%","12350","2.06%","0.8503","1"
"33153","712","6.13%","25924","11.21%","0.8821","1"
"190478","805","12.22%","46245","11.32%","0.4145","0"
"167605","877","3.60%","22378","5.36%","0.6912","1"
"32260","828","4.76%","5411","10.26%","0.7960","0"
"14881","657","13.95%","21425","5.72%","0.1754","0"
"69569","623","2.23%","24302","11.50%","0.5113","1"
"95573","876","4.77%","29935","11.97%","0.5745","1"
"48160","833","11.09%","19854","6.83%","0.3029","0"
"121991","743","16.08%","42082","9.88%","0.5344","0"
"105971","727","12.60%","34601","2.23%","0.8084","0"
"199191","814","5.35%","19386","5.29%","0.9608","0"
"85856","609","1.13%","6485","6.33%","0.8077","0"
"174353","621","1.27%","31528","11.32%","0.0012","0"
"111068","743","14.69%","9075","3.55%","0.2547","0"
"151860","701","11.61%","14897","11.79%","0.0409","0"
"137904","742","3.06%","35071","4.49%","0.2794","0"
"80698","692","3.17%","31563","2.91%","0.6418","0"
"35288","841","14.51%","37513","6.85%","0.2095","0"
"189821","880","6.72%","37087","5.80%","0.6281","0"
"188687","702","7.89%","46561","6.02%","0.5699","1"
"113666","891","15.33%","13976","8.96%","0.3160","0"
"83862","881","8.72%","45755","3.25%","0.9570","0"
"140013","620","11.06%","44875","10.03%","0.8813","1"
"59896","659","8.31%","37744","7.07%","0.5971","0"
"126999","693","4.01%","12155","9.36%","0.3746","0"
"109707","858","16.15%","21163","3.36%","0.5336","0"
"99671","723","7.67%","16323","7.28%","0.1445","0"
"161295","608","8.72%","42850","7.33%","0.4981","0"
"43642","841","16.33%","44670","6.53%","0.7696","0"
"164142","778","3.34%","8793","5.69%","0.1102","0"
"186945","891","7.92%","18236","10.84%","0.7627","0"
"109814","834","5.01%","15679","5.08%","0.6682","1"
"99152","819","8.04%","38534","7.54%","0.6956","1"
"94842","842","10.11%","43888","8.05%","0.2199","0"
"160428","656","5.38%","26112","3.94%","0.2593","0"
"90491","839","9.92%","17520","7.05%","0.1702","0"
"93936","665","5.73%","24208","3.95%","0.5456","1"
"170089","813","1.71%","38733","8.75%","0.4483","0"
"192582","680","10.63%","24220","8.64%","0.3162","0"
"79074","770","1.74%","35435","3.59%","0.3383","0"
"10336","814","4.29%","17686","4.79%","0.6627","1"
"158929","632","12.73%","24457","2.15%","0.8178","0"
"157501","650","8.78%","20204","2.82%","0.5820","1"
"158448","812","2.72%","27521","9.10%","0.5302","0"
"96575","747","0.37%","17226","3.96%","0.0940","0"
"108393","723","2.92%","36033","6.25%","0.9854","1"
"137419","889","2.40%","19628","9.98%","0.4561","0"
"169243","804","13.45%","6377","6.84%","0.8863","0"
"18955","675","8.20%","48360","11.92%","0.3130","0"
"191354","806","1.11%","11626","8.11%","0.5477","0"
